experiment	score	status	description
0	792	baseline	Original HEARTBEAT.md (3168 chars)
1	366	kept	v1: Removed redundancy, bullet format (1465 chars)
2	1282	discarded	v2: Table format — lost "heartbeat mejorado" keyword
3	289	kept	v3: Combined best of v1+v2, all keywords intact (1156 chars)
4	255	kept	v4: Further compression, maintained readability (1021 chars)
5	216	kept-but-rejected	v5: Too cryptic, poor readability (865 chars)
FINAL	255	selected	v4 selected: best balance of compression + readability
6	162	kept	v6: Description compression, all checks intact (650 chars)
7	1110	discarded	v7: Too aggressive, lost keyword "mejorado"
8	144	kept	v8: Format without markdown headers (578 chars)
9	138	kept	v9: Abbrev 'health'→'', 'sin tareas'→'sino' (553 chars)
10	136	kept	v10: Streamline checks, remove redundant 'Notion' (547 chars)
FINAL	136	selected	v10: 47% reduction from previous baseline. All checks, zero-notification, quiet hours, heartbeat mejorado maintained.
2026-03-15	273	204	-69	-25%	4/5	heartbeat-efficiency
2026-03-16	204	111	-93	-46%	4/5	heartbeat-efficiency (nightly, Mon)
